location,crop,plot,block,number,bag_no,series_no,tea_id,tea_initial_drywt_g,tea_final_drywt_g,notes
wiu,pcro,2,1,1,1,1,1,2,1.365,NA
wiu,pcro,2,1,2,5,5,2,2.1,1.278,NA
wiu,pcro,2,1,3,3,3,3,2.1,1.928,NA
NA,pcro,NA,1,4,NA,NA,4,2,NA,NA
wiu,pcro,2,1,5,2,2,5,2.1,2.033,NA
wiu,pcro,2,1,6,6,6,6,2.1,1.514,NA
wiu,pcro,2,1,7,4,4,7,2.1,1.082,NA
wiu,pcro,2,1,7,7,7,7,2.1,1.449,NA
wiu,pcro,2,1,8,8,8,8,2.1,1.963,NA
wiu,pcro,2,1,9,9,9,9,2.1,1.685,NA
wiu,pcro,2,1,10,10,10,10,2.1,1.287,NA
wiu,ar,6,1,1,43,3,11,2.1,1.894,NA
wiu,ar,6,1,2,44,4,12,2,1.981,NA
wiu,ar,6,1,3,48,8,13,2,1.355,NA
NA,ar,NA,1,4,NA,NA,14,2.1,NA,NA
NA,ar,NA,1,5,NA,NA,15,2.2000000000000002,NA,NA
wiu,ar,6,1,6,49,9,16,2.2000000000000002,1.56,NA
wiu,ar,6,1,7,47,7,17,2.4,2.032,NA
NA,ar,NA,1,8,NA,NA,18,2.1,NA,NA
wiu,ar,6,1,9,41,1,19,2.2999999999999998,1.653,NA
NA,ar,NA,1,10,NA,NA,20,2.1,NA,NA
wiu,wpc,3,1,1,14,4,21,2.2999999999999998,1.495,NA
wiu,wpc,3,1,1,19,9,21,2.2999999999999998,1.864,NA
wiu,wpc,3,1,2,16,6,22,2.1,1.863,NA
wiu,wpc,3,1,3,20,10,23,2.1,2.008,NA
NA,wpc,NA,1,4,NA,NA,24,2.2000000000000002,NA,NA
wiu,wpc,3,1,5,17,7,25,2.1,1.995,NA
wiu,wpc,3,1,6,15,5,26,2.2999999999999998,1.552,NA
NA,wpc,NA,1,7,NA,NA,27,2.2000000000000002,NA,NA
NA,wpc,NA,1,8,NA,NA,28,2.2000000000000002,NA,NA
wiu,wpc,3,1,9,18,8,29,2.2000000000000002,1.701,NA
wiu,wpc,3,1,10,12,2,30,2.1,1.987,NA
wiu,cr,5,1,1,32,2,31,2.2999999999999998,1.293,NA
wiu,cr,5,1,2,35,5,32,2.2000000000000002,1.598,NA
wiu,cr,5,1,3,36,6,33,2.2999999999999998,1.208,NA
wiu,cr,5,1,4,39,9,34,2.2000000000000002,1.171,NA
wiu,cr,5,1,5,40,10,35,2.1,NA,NA
wiu,cr,5,1,6,34,4,36,2.2000000000000002,1.462,NA
wiu,cr,5,1,7,37,7,37,2,1.993,NA
NA,cr,NA,1,8,NA,NA,38,2.1,NA,NA
wiu,cr,5,1,9,31,1,39,2.2999999999999998,1.971,NA
wiu,cr,5,1,10,33,3,40,2,1.972,NA
wiu,gpc,4,1,1,28,8,41,2.2000000000000002,1.579,NA
wiu,gpc,4,1,2,24,4,42,2.1,1.503,NA
wiu,gpc,4,1,3,23,3,43,2.2999999999999998,1.837,NA
wiu,gpc,4,1,4,29,9,44,2,2.216,NA
wiu,gpc,4,1,5,25,5,45,2.4,1.723,NA
wiu,gpc,4,1,6,27,7,46,2.2000000000000002,2.142,NA
wiu,gpc,4,1,7,30,10,47,2.1,1.486,NA
wiu,gpc,4,1,8,26,6,48,2.2999999999999998,1.978,NA
wiu,gpc,4,1,9,22,2,49,2.1,1.389,NA
wiu,gpc,4,1,10,21,1,50,1.9,1.874,NA
wiu,gpc,10,2,1,88,8,51,2.1,1.641,NA
NA,gpc,NA,2,2,NA,NA,52,2.1,NA,NA
wiu,gpc,10,2,3,90,10,53,2.2000000000000002,1.766,NA
wiu,gpc,10,2,4,89,9,54,2.1,1.976,NA
wiu,gpc,10,2,5,82,2,55,2.2000000000000002,1.63,NA
wiu,gpc,10,2,5,86,6,55,2.2000000000000002,2.141,NA
NA,gpc,NA,2,6,NA,NA,56,2.1,NA,NA
wiu,gpc,10,2,7,83,3,57,2.2000000000000002,1.572,NA
NA,gpc,NA,2,8,NA,NA,58,2.1,NA,NA
wiu,gpc,10,2,9,87,7,59,2.1,2.046,NA
wiu,gpc,10,2,10,84,4,60,2.1,1.765,NA
wiu,cr,8,2,1,67,7,61,2.2000000000000002,1.218,NA
NA,cr,NA,2,2,NA,NA,62,2.1,NA,NA
wiu,cr,8,2,3,65,5,63,2.4,2.095,NA
wiu,cr,8,2,4,66,6,64,2.4,1.298,NA
NA,cr,NA,2,5,NA,NA,65,2,NA,NA
NA,cr,NA,2,6,NA,NA,66,2.1,NA,NA
wiu,cr,8,2,7,69,9,67,2.2000000000000002,1.205,NA
NA,cr,NA,2,8,NA,NA,68,2.1,NA,NA
wiu,cr,8,2,9,61,1,69,2.1,1.388,NA
wiu,cr,8,2,10,63,3,70,2.1,2.117,NA
wiu,pcro,9,2,1,76,6,71,2.1,1.681,NA
wiu,pcro,9,2,2,71,1,72,2.2000000000000002,1.572,NA
NA,pcro,NA,2,3,NA,NA,73,2.1,NA,NA
wiu,pcro,9,2,4,74,4,74,2.2000000000000002,1.971,NA
wiu,pcro,9,2,5,79,9,75,2.1,1.993,NA
wiu,pcro,9,2,6,72,2,76,2.2999999999999998,1.879,NA
wiu,pcro,9,2,7,77,7,77,2.1,2.067,NA
wiu,pcro,9,2,8,80,10,78,2.1,2.155,NA
NA,pcro,NA,2,9,NA,NA,79,2.1,NA,NA
wiu,pcro,9,2,10,78,8,80,2.2000000000000002,1.474,NA
NA,wpc,NA,2,1,NA,NA,81,2.2999999999999998,NA,NA
NA,wpc,NA,2,2,NA,NA,82,2.2999999999999998,NA,NA
wiu,wpc,7,2,3,51,1,83,2.2999999999999998,1.875,NA
wiu,wpc,7,2,4,58,8,84,2,1.544,NA
wiu,wpc,7,2,5,53,3,85,2.2000000000000002,2.02,NA
wiu,wpc,7,2,6,55,5,86,2.1,2.031,NA
wiu,wpc,7,2,7,57,7,87,2.2000000000000002,2.241,NA
wiu,wpc,7,2,8,56,6,88,2.2999999999999998,2.188,NA
NA,wpc,NA,2,9,NA,NA,89,2.1,NA,NA
NA,wpc,NA,2,10,NA,NA,90,2,NA,NA
wiu,ar,12,2,1,98,8,91,2.2000000000000002,2.11,NA
wiu,ar,12,2,2,96,6,92,2.2000000000000002,1.959,NA
wiu,ar,12,2,3,93,3,93,2.2000000000000002,1.534,NA
NA,ar,NA,2,4,NA,NA,94,2.5,NA,NA
NA,ar,NA,2,5,NA,NA,95,2.1,NA,NA
wiu,ar,12,2,6,91,1,96,2.1,1.554,NA
NA,ar,NA,2,7,NA,NA,97,2.1,NA,NA
wiu,ar,12,2,8,92,2,98,2.2000000000000002,1.455,NA
wiu,ar,12,2,9,95,5,99,2.2000000000000002,2.109,NA
wiu,ar,12,2,10,99,9,100,2.2999999999999998,1.703,NA
wiu,gpc,13,3,1,107,7,101,2.1,1.984,NA
wiu,gpc,13,3,2,104,4,102,2.2000000000000002,1.947,NA
wiu,gpc,13,3,3,101,1,103,2.2000000000000002,2.01,NA
wiu,gpc,13,3,3,108,8,103,2.2000000000000002,1.652,NA
wiu,gpc,13,3,4,109,9,104,2.2000000000000002,1.45,NA
NA,gpc,NA,3,5,NA,NA,105,2.2999999999999998,NA,NA
wiu,gpc,13,3,6,110,10,106,2.2999999999999998,2.052,NA
wiu,gpc,13,3,7,105,5,107,2.4,2.292,NA
isu,gpc,306,3,7,305,5,107,2.4,2.136,NA
wiu,gpc,13,3,8,102,2,108,2.1,NA,NA
wiu,gpc,13,3,9,103,3,109,2.2999999999999998,1.826,NA
NA,gpc,NA,3,10,NA,NA,110,2.1,NA,NA
wiu,wpc,14,3,1,115,5,111,2.2000000000000002,1.404,NA
wiu,wpc,14,3,2,112,2,112,2.1,2.089,NA
wiu,wpc,14,3,3,116,6,113,2.1,1.462,NA
wiu,wpc,14,3,4,117,7,114,2.1,2.062,NA
wiu,wpc,14,3,5,118,8,115,2.1,1.668,NA
NA,wpc,NA,3,6,NA,NA,116,2.2000000000000002,NA,NA
wiu,wpc,14,3,7,120,10,117,2,1.685,NA
wiu,wpc,14,3,8,113,3,118,2.1,1.903,NA
wiu,wpc,14,3,9,119,9,119,2.1,1.846,NA
wiu,wpc,14,3,10,111,1,120,2,1.548,NA
NA,pcro,NA,3,1,NA,NA,121,2.2000000000000002,NA,NA
wiu,pcro,18,3,2,141,1,122,2.1,1.568,NA
wiu,pcro,18,3,3,149,9,123,2,2.44,NA
wiu,pcro,18,3,4,146,6,124,2.1,1.709,NA
wiu,pcro,18,3,5,145,5,125,2.2999999999999998,2.609,NA
wiu,pcro,18,3,6,148,8,126,2.1,2.014,NA
wiu,pcro,18,3,7,142,2,127,2.2000000000000002,2.08,NA
wiu,pcro,18,3,8,147,7,128,2.1,2.057,NA
wiu,pcro,18,3,9,143,3,129,2.2000000000000002,1.904,NA
wiu,pcro,18,3,10,144,4,130,2.1,2.289,NA
wiu,ar,15,3,1,130,10,131,2.1,1.994,NA
NA,ar,NA,3,2,NA,NA,132,2.1,NA,NA
wiu,ar,15,3,3,126,6,133,2.1,1.593,NA
wiu,ar,15,3,4,128,8,134,2.2000000000000002,1.598,NA
wiu,ar,15,3,5,125,5,135,2.1,2.074,NA
wiu,ar,15,3,6,121,1,136,2,2.144,NA
wiu,ar,15,3,7,122,2,137,2.1,1.927,NA
wiu,ar,15,3,8,124,4,138,2.2000000000000002,1.927,NA
wiu,ar,15,3,9,127,7,139,2.1,1.573,NA
wiu,ar,15,3,10,129,9,140,2.1,1.798,NA
wiu,cr,16,3,1,131,1,141,2.1,1.22,NA
wiu,cr,16,3,2,136,6,142,2.1,2.015,NA
wiu,cr,16,3,3,132,2,143,2.2999999999999998,1.261,NA
wiu,cr,16,3,4,134,4,144,2.2000000000000002,1.348,NA
wiu,cr,16,3,5,135,5,145,2.1,1.352,NA
wiu,cr,16,3,6,140,10,146,2,1.279,NA
NA,cr,NA,3,7,NA,NA,147,2.2000000000000002,NA,NA
wiu,cr,16,3,8,133,3,148,2.2000000000000002,1.538,NA
wiu,cr,16,3,9,137,7,149,2.2999999999999998,2.276,NA
wiu,cr,16,3,10,139,9,150,2.2000000000000002,1.831,NA
wiu,wpc,20,4,1,159,9,151,2.1,1.684,NA
wiu,wpc,20,4,2,151,1,152,2.2000000000000002,2.152,NA
wiu,wpc,20,4,3,152,2,153,2.1,1.78,NA
